,title,rating,date,cleaned_content,sentiment_score,sentiment,label
0,Very Great Processor . . .,5.0,2024-04-24,The processor power efficient develop android apps web development processor beast I little gaming rx580 combination superb 5400mhz ddr5 memory 1 tb ssd Read,0.7845,positive,1
1,Best CPU for Budget Ballers.,5.0,2024-06-15,This processor great mid high range budget builds looking cpu around 10K INR perfect choice 6 Cores 12 Threads quite powerful For pairing RX 6600 gave around 120 FPS almost games playing High Graphics About stock cooler stock cooler definitely keep heat away experienced less 60 gaming although u go better cooler u prefer stock cooler job Overall 9 5 10 product Read,0.9518,positive,1
2,Thanku,5.0,2024-07-01,Thanku Appario send best cpuRead,0.6369,positive,1
3,No discrete graphics in this processor,4.0,2024-02-18,This work without graphic card So careful ordering Read,0.2769,positive,1
6,Disappointing Experience with Defective i5 Processor,1.0,2023-12-26,I recently purchased i5 processor Amazon unfortunately turned defective Despite efforts seek assistance Amazon customer support proved unhelpful leaving frustrated hard earned money seemingly drain Disappointed product lack support I advise potential buyers exercise caution considering purchase Read,-0.7717,negative,0
7,Highest Price to Performance processor for gaming.,5.0,2024-03-24,I upgrade 9400f The performance gain huge I use cooler master hyper 212 cbinet 3 intake 2 exhaust fan Temp never cross 60 c even full load stress test The efficiency processor incredible runs 1 2 volt It never reach 1 2v even Multi core stress test If building mid range PC gaming purpose cpu consider At price point nothing beat processor Read,0.3871,positive,1
11,,,2024-04-10,Switched 6th gen i5 6600k 12400f I feel significant improvement Especially daily tasks games works perfectly I got ddr5 6000mhz cl30 ram well works without problem Combined 4060 ti consumes little power gets everything need done far I got noctua cooler though works really quiet cool Perfect price About 500sek cheaper version integrated graphics low profile gpus case want simple daily office use Read,0.9524,positive,1
13,Very Great Processor . . .,5.0,2024-04-24,The processor power efficient develop android apps web development processor beast I little gaming rx580 combination superb 5400mhz ddr5 memory 1 tb ssd Read,0.7845,positive,1
14,Best CPU for Budget Ballers.,5.0,2024-06-15,This processor great mid high range budget builds looking cpu around 10K INR perfect choice 6 Cores 12 Threads quite powerful For pairing RX 6600 gave around 120 FPS almost games playing High Graphics About stock cooler stock cooler definitely keep heat away experienced less 60 gaming although u go better cooler u prefer stock cooler job Overall 9 5 10 product Read,0.9518,positive,1
15,Thanku,5.0,2024-07-01,Thanku Appario send best cpuRead,0.6369,positive,1
16,No discrete graphics in this processor,4.0,2024-02-18,This work without graphic card So careful ordering Read,0.2769,positive,1
19,Disappointing Experience with Defective i5 Processor,1.0,2023-12-26,I recently purchased i5 processor Amazon unfortunately turned defective Despite efforts seek assistance Amazon customer support proved unhelpful leaving frustrated hard earned money seemingly drain Disappointed product lack support I advise potential buyers exercise caution considering purchase Read,-0.7717,negative,0
20,Highest Price to Performance processor for gaming.,5.0,2024-03-24,I upgrade 9400f The performance gain huge I use cooler master hyper 212 cbinet 3 intake 2 exhaust fan Temp never cross 60 c even full load stress test The efficiency processor incredible runs 1 2 volt It never reach 1 2v even Multi core stress test If building mid range PC gaming purpose cpu consider At price point nothing beat processor Read,0.3871,positive,1
