title,rating,date,content
5.0 out of 5 starsVery Great Processor . . .,5.0 out of 5 stars,Reviewed in India on 24 April 2024,The processor was very power efficient i develop android apps and web development and for this the processor was beast and I do some little gaming with rx580 which combination was superb  with 5400mhz ddr5 memory 1 tb ssd . . .Read more
5.0 out of 5 starsBest CPU for Budget Ballers.,5.0 out of 5 stars,Reviewed in India on 15 June 2024,"This processor is great mid to high range budget builds, if your looking for a cpu for around 10K INR, this is the perfect choice, it has 6 Cores and 12 Threads which is quite powerful. For me, pairing it with RX 6600 gave me around 120 FPS in almost all games while playing on High Graphics. About the stock cooler, the stock cooler can definitely keep the heat away, i experienced less than 60° while gaming, although u can go for a better cooler if u prefer that, but the stock cooler will do its job.Overall 9.5/10 product.Read more"
5.0 out of 5 starsThanku,5.0 out of 5 stars,Reviewed in India on 1 July 2024,Thanku Appario you send me best cpuRead more
4.0 out of 5 starsNo discrete graphics in this processor,4.0 out of 5 stars,Reviewed in India on 18 February 2024,"This will not work without graphic card, So be careful before ordering.Read more"
5.0 out of 5 starsBest Budget Cpu,5.0 out of 5 stars,Reviewed in India on 26 June 2024,Budget cpu for gamers and creatorsRead more
5.0 out of 5 starsA Balanced Powerhouse for Everyday Computing,5.0 out of 5 stars,Reviewed in India on 16 June 2024,It doesn't have integrated graphicsRead more
1.0 out of 5 starsDisappointing Experience with Defective i5 Processor,1.0 out of 5 stars,Reviewed in India on 26 December 2023,"I recently purchased an i5 processor from Amazon, and unfortunately, it turned out to be defective. Despite my efforts to seek assistance from Amazon, their customer support proved unhelpful, leaving me frustrated with my hard-earned money seemingly down the drain. Disappointed with both the product and the lack of support, I advise potential buyers to exercise caution when considering this purchase.Read more"
5.0 out of 5 starsHighest Price to Performance processor for gaming.,5.0 out of 5 stars,Reviewed in India on 24 March 2024,"I upgrade from 9400f. The performance gain is a huge. I use cooler master hyper 212 with this and my cbinet have 3 intake 2 exhaust fan, Temp never cross 60°c even when full load stress test. The efficiency of this processor is incredible runs below 1.2 volt. It never reach 1.2v even when doing Multi core stress test.If you're building mid range PC for gaming purpose this is the cpu you should consider. At this price point there's nothing that can beat this processor.Read more"
,,Reviewed in Brazil on 17 April 2024,"Ótimo desempenho com custo beneficio. Mas existe um detalhe muito importante. SEM GPU INCLUSA. Em outras palavras, seu computador precisa de uma placa de vídeo para funcionar, diferente de outros processadores com GPU inclusa. Um detalhe importante.Read more"
,,Reviewed in Saudi Arabia on 5 July 2024,سهولة الشراء  و سرعة التوصيل وجودة المنتجRead more
,,Reviewed in Belgium on 8 May 2024,livré en parfait état et dans les tempsRead more
,,Reviewed in Sweden on 10 April 2024,"Switched from 6th gen i5 (6600k) to 12400f, I can feel the significant improvement. Especially with daily tasks and games it works perfectly. I got ddr5 6000mhz cl30 ram as well, works without a problem. Combined with 4060 ti, consumes such little power and gets everything i need done so far.I got a noctua cooler for it though, works really quiet and cool. Perfect for the price. About 500sek cheaper than the version with integrated graphics, but there are low profile gpus in case you want it as a simple daily or office use.Read more"
,,Reviewed in the Netherlands on 16 March 2024,Ivm mijn oude I5 8400 een wereld van verschil. Alles laad direct geen vertragingen meer. Icm een rx 6600 ook zo goed als alle spellen op 1080p op minimaal 75fps.Read more
5.0 out of 5 starsVery Great Processor . . .,5.0 out of 5 stars,Reviewed in India on 24 April 2024,The processor was very power efficient i develop android apps and web development and for this the processor was beast and I do some little gaming with rx580 which combination was superb  with 5400mhz ddr5 memory 1 tb ssd . . .Read more
